General : Specimen number (included),1,,,
Specimen choice input : Material,<None>,,,
Specimen properties : Geometry,Rectangular,,,
Specimen properties : Length,50,mm,,
Specimen properties : Thickness,3,mm,,
Specimen properties : Width,11.9,mm,,
Specimen properties : Area,35.7,mm^2,,
Specimen properties : Final length,50,mm,,
Specimen properties : Final thickness,3,mm,,
Specimen properties : Final width,11.9,mm,,
Specimen properties : Final area,35.7,mm^2,,
,,,,
Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
21.4,1.78354,6049.55,0.016,168.04303
21.6,1.80014,6057.6,0.01654,168.26663
21.8,1.8168,6063.75,0.01708,168.43745
22,1.83344,6066.51,0.01764,168.51422
22.2,1.85022,6072.17,0.01819,168.67136
22.4,1.8668,6076.26,0.01874,168.78493
22.6,1.88346,6081.25,0.01927,168.92354
22.8,1.90033,6089.46,0.01969,169.15158
23,1.91679,6093.95,0.01993,169.27643
23.2,1.93351,6099.42,0.01999,169.42833
23.4,1.95018,6103.89,0.02001,169.55238
23.6,1.96675,6100.3,0.02003,169.45277
23.8,1.9835,6103.44,0.02004,169.54008
24,2.00008,6105.27,0.02005,169.59093
24.2,2.01686,6109.68,0.02007,169.71335
24.4,2.03353,6106.08,0.02008,169.61342
24.6,2.05013,6087.31,0.02009,169.09203
24.8,2.06685,6093.35,0.0201,169.25967
25,2.08352,6193.83,0.02016,172.05077
25.2,2.10012,6129.21,0.02011,170.25577
25.4,2.11688,6193.82,0.02014,172.05051
25.6,2.13345,6166.14,0.02012,171.28168
25.8,2.15017,6173.95,0.02013,171.49872
26,2.16684,6188.44,0.02014,171.9012
26.2,2.18344,6202.09,0.02014,172.28024
26.4,2.20023,6224.94,0.02015,172.91512
26.6,2.2168,6242.47,0.02016,173.40184
26.8,2.23343,6267.77,0.02017,174.1048
27,2.25022,6265.64,0.02017,174.04559
27.2,2.26691,6273.28,0.02018,174.25768
27.4,2.28352,6326.58,0.0202,175.73834
27.6,2.30015,6316.66,0.0202,175.46278
27.8,2.31678,6317.56,0.02032,175.48788
28,2.33351,6323.89,0.02071,175.66357
28.2,2.35011,6327.6,0.02125,175.76666
28.4,2.36678,6330.73,0.02181,175.85371
28.6,2.38359,6338.28,0.02236,176.06337
28.8,2.40007,6340.67,0.02291,176.12973
29,2.41686,6345.05,0.02347,176.25133
